Type,Usage,Key,Default config,Example,Variable 1,Variable 2,Variable 3,Variable 4
Crossing,,crossing_p1,în|$distance|$direction|$hasNameOrRef|pe|$nameOrRef,,$distance='numbers',$direction=right|left,$hasNameOrRef=rest of advise only used when street name present,$nameOrRef=streetname (e.g. A100)
,,crossing_p2,în|$distance|$direction|$hasNameOrRef|pe|$nameOrRef,,,,,
,,crossing_p3,acum|$direction|$hasNameOrRef|pe|$nameOrRef,,,,,
,,crossing_combine,$direction|$hasNameOrRef|pe|$nameOrRef,,,,,
,,crossing_pweb,$direction_web|$hasNameOrRef|onto|$nameOrRef,,,,,
,,,,,,,,
T-Streets,,tstreet_p1,în|$distance|$direction|la_intersecție|$hasNameOrRef|pe|$nameOrRef,,,,,
,,tstreet_p2,în|$distance|$direction|la_intersecție|$hasNameOrRef|pe|$nameOrRef,,,,,
,,tstreet_p3,acum|$direction|la_intersecție|$hasNameOrRef|pe|$nameOrRef,,,,,
,,tstreet_combine,$direction|la_intersecție|$hasNameOrRef|pe|$nameOrRef,,,,,
,,tstreet_pweb,$direction_web|at_the_T_junction|$hasNameOrRef|onto|$nameOrRef,,,,,
,,,,,,,,
Round-About advises,,rndabout_p1,în|$distance|părăsiți_sensul_giratoriu_la_$(roundaboutExit)_ieșire|$hasNameOrRef|pe|$nameOrRef,,,,,
,,rndabout_p2,în|$distance|părăsiți_sensul_giratoriu_la_$(roundaboutExit)_ieșire|$hasNameOrRef|pe|$nameOrRef,,,,,
,,rndabout_p3,acum|părăsiți_sensul_giratoriu_la_$(roundaboutExit)_ieșire|$hasNameOrRef|pe|$nameOrRef,,,,,
,,rndabout_combine,părăsiți_sensul_giratoriu_la_$(roundaboutExit)_ieșire|$hasNameOrRef|pe|$nameOrRef,,,,,
,,rndabout_pweb,Take_the_$(roundaboutExit)_exit_at_the_roundabout|$hasNameOrRef|onto|$nameOrRef,,,,,
,,,,,,,,
Destination advises,,last_p1,în|$distance|părăsiți_strada_cu_prioritate.|Destinația_este_pe_partea_$(side_2),,,,,
,,last_p2,în|$distance|părăsiți_strada_cu_prioritate.|Destinația_este_pe_partea_$(side_2),,,,,
,,last_p3,acum|părăsiți_strada_cu_prioritate.|Destinația_este_pe_partea_$(side_2)|@,,,,,
,,last_combine,veți_ajunge_la_destinație,,,,,
,,last_pweb,Leave_the_main_road|.|Your_destination_is_on_the_$(side)_side,,,,,
,,,,,,,,
Destination reach advises,,dest_p1,în|$distance|veți_ajunge_la_destinație,,,,,
,,dest_p2,în|$distance|veți_ajunge_la_destinație,,,,,
,,dest_p3,acum_ați_ajuns_la_destinație.|Destinația_este_pe_partea_$(side_2)|@,,,,,
,,dest_combine,veți_ajunge_la_destinație,,,,,
,,dest_pweb,You_will_reach_your_destination,,,,,
,,,,,,,,
Destination roundabout advises,,dest_rnd_p1,în|$distance|veți_ajunge_la_destinație,,,,,
,,dest_rnd_p2,în|$distance|veți_ajunge_la_destinație,,,,,
,,dest_rnd_p3,acum_ați_ajuns_la_destinație.|Destinația_este_sensul_girator|@,,,,,
,,dest_rnd_combine,veți_ajunge_la_destinație,,,,,
,,dest_rnd_pweb,You_will_reach_your_destination,,,,,
,,,,,,,,
Destination road advises,,dest_str_p1,în|$distance|veți_ajunge_pe_strada_de_destinație,,,,,
,,dest_str_p2,în|$distance|veți_ajunge_pe_strada_de_destinație,,,,,
,,dest_str_p3,acum_ați_ajuns_la_destinație|@,,,,,
,,dest_str_combine,veți_ajunge_pe_strada_de_destinație,,,,,
,,dest_str_pweb,You_will_reach_your_designated_road,,,,,
,,,,,,,,
Highway crossing advises,,hway_cross_p1,în|$distance|$direction|$hasNameOrRef|pe|$nameOrRef,,,,,
,,hway_cross_p2,în|$distance|$direction|$hasNameOrRef|pe|$nameOrRef,,,,,
,,hway_cross_p3,acum|$direction|$hasNameOrRef|pe|$nameOrRef,,,,,
,,hway_cross_combine,$direction|$hasNameOrRef|pe|$nameOrRef,,,,,
,,hway_cross_pweb,$direction_web|$hasNameOrRef|onto|$nameOrRef,,,,,
,,,,,,,,
